type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.terminal,arrival.baggage,departure.estimatedTime,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,tlv,llbg,3,,16,2021-12-05t08:40:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,tbs,ugtb,,2021-12-05t13:10:00.000,2021-12-05t13:04:00.000,georgian airways,a9,tgz,696,a9696,tgz696,,,,,,,,,2021-12-05t08:40:00.000,,,,
departure,active,tlv,llbg,,,,2021-12-05t08:40:00.000,,,,pfo,lcph,,2021-12-05t09:45:00.000,,tus airways,u8,cyf,1532,u81532,cyf1532,,,,,,,,,,,,,
departure,active,tlv,llbg,3,,,2021-12-05t08:45:00.000,,,,gva,lsgg,,2021-12-05t12:25:00.000,,el al,ly,ely,341,ly341,ely341,,,,,,,1,,,,,,
departure,active,tlv,llbg,1,,11,2021-12-05t09:00:00.000,2021-12-05t09:10:00.000,2021-12-05t09:10:00.000,2021-12-05t09:10:00.000,pfo,lcph,,2021-12-05t10:10:00.000,2021-12-05t09:53:00.000,ryanair,fr,ryr,4162,fr4162,ryr4162,,,,,,,,,2021-12-05t09:00:00.000,,,,
departure,active,tlv,llbg,3,,13,2021-12-05t09:00:00.000,2021-12-05t09:13:00.000,2021-12-05t09:13:00.000,2021-12-05t09:13:00.000,cdg,lfpg,,2021-12-05t13:00:00.000,2021-12-05t12:26:00.000,el al,ly,ely,323,ly323,ely323,,,,,,,2a,8,2021-12-05t09:23:00.000,,,,
departure,active,tlv,llbg,3,,43,2021-12-05t09:00:00.000,2021-12-05t09:42:00.000,2021-12-05t09:42:00.000,2021-12-05t09:42:00.000,bus,ugsb,,2021-12-05t13:15:00.000,2021-12-05t13:31:00.000,israir airlines,6h,isr,885,6h885,isr885,,,,,,,,,,16,,,
departure,active,tlv,llbg,3,,10,2021-12-05t09:05:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,lhr,egll,,2021-12-05t12:35:00.000,2021-12-05t11:48:00.000,american airlines,aa,aal,8371,aa8371,aal8371,el al,ly,ely,315,ly315,ely315,2,,2021-12-05t09:18:00.000,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t09:05:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,lhr,egll,,2021-12-05t12:35:00.000,2021-12-05t11:48:00.000,aeromexico,am,amx,7863,am7863,amx7863,el al,ly,ely,315,ly315,ely315,2,,2021-12-05t09:18:00.000,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t09:05:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,2021-12-05t09:15:00.000,lhr,egll,,2021-12-05t12:35:00.000,2021-12-05t11:48:00.000,el al,ly,ely,315,ly315,ely315,,,,,,,2,,2021-12-05t09:18:00.000,,,,
departure,active,tlv,llbg,3,,17,2021-12-05t09:10:00.000,2021-12-05t09:27:00.000,2021-12-05t09:27:00.000,2021-12-05t09:27:00.000,ber,eddb,x19,2021-12-05t12:35:00.000,2021-12-05t12:33:00.000,israir airlines,6h,isr,253,6h253,isr253,,,,,,,1,a2,,,,,
departure,active,tlv,llbg,1,,34,2021-12-05t09:25:00.000,2021-12-05t09:59:00.000,2021-12-05t09:59:00.000,2021-12-05t09:59:00.000,otp,lrop,,2021-12-05t12:20:00.000,2021-12-05t12:22:00.000,wizz air,w6,wzz,3258,w63258,wzz3258,,,,,,,,,2021-12-05t09:25:00.000,3,,,
departure,active,tlv,llbg,3,,5,2021-12-05t09:25:00.000,2021-12-05t09:29:00.000,2021-12-05t09:29:00.000,2021-12-05t09:29:00.000,fco,lirf,,2021-12-05t12:10:00.000,2021-12-05t12:05:00.000,israir airlines,6h,isr,341,6h341,isr341,,,,,,,3,10,,,,,
departure,active,tlv,llbg,,,,2021-12-05t09:55:00.000,,,,bud,lhbp,,2021-12-05t12:25:00.000,,blue bird airways,bz,bbg,442,bz442,bbg442,,,,,,,2b,,,,,,
