type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,svo,uuee,127,22.0,2021-12-10t01:40:00.000,2021-12-10t01:30:00.000,2021-12-10t02:01:00.000,2021-12-10t02:01:00.000,2021-12-10t02:01:00.000,tlv,llbg,3,,2021-12-10t05:00:00.000,2021-12-10t04:45:00.000,2021-12-10t04:47:00.000,2021-12-10t04:47:00.000,2021-12-10t04:47:00.000,aeroflot,su,afl,500,su500,afl500,c,,,,,,,c2,
arrival,landed,bkk,vtbs,,14.0,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,tlv,llbg,3,,2021-12-10t05:45:00.000,2021-12-10t05:20:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,qantas,qf,qfa,5019,qf5019,qfa5019,,el al,ly,ely,84,ly84,ely84,,
arrival,landed,bkk,vtbs,,14.0,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,tlv,llbg,3,,2021-12-10t05:45:00.000,2021-12-10t05:20:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,thai airways international,tg,tha,4585,tg4585,tha4585,,el al,ly,ely,84,ly84,ely84,,
arrival,landed,bkk,vtbs,,14.0,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,tlv,llbg,3,,2021-12-10t05:45:00.000,2021-12-10t05:20:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,vietnam airlines,vn,hvn,3295,vn3295,hvn3295,,el al,ly,ely,84,ly84,ely84,,
arrival,landed,bkk,vtbs,,14.0,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,2021-12-09t23:43:00.000,tlv,llbg,3,,2021-12-10t05:45:00.000,2021-12-10t05:20:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,2021-12-10t05:21:00.000,el al,ly,ely,84,ly84,ely84,,,,,,,,,
arrival,landed,mia,kmia,j5,42.0,2021-12-09t12:00:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,tlv,llbg,3,,2021-12-10t06:45:00.000,2021-12-10t06:39:00.000,2021-12-10t06:43:00.000,2021-12-10t06:43:00.000,2021-12-10t06:43:00.000,aerolineas argentinas,ar,arg,7850,ar7850,arg7850,s,el al,ly,ely,18,ly18,ely18,,
arrival,landed,mia,kmia,j5,42.0,2021-12-09t12:00:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,2021-12-09t12:42:00.000,tlv,llbg,3,,2021-12-10t06:45:00.000,2021-12-10t06:39:00.000,2021-12-10t06:43:00.000,2021-12-10t06:43:00.000,2021-12-10t06:43:00.000,el al,ly,ely,18,ly18,ely18,s,,,,,,,,
arrival,unknown,lgg,eblg,,,2021-12-10t01:55:00.000,,,,,tlv,llbg,,,2021-12-10t07:10:00.000,,,,,el al,ly,ely,832,ly832,ely832,,,,,,,,,
arrival,landed,hkg,vhhh,b,,2021-12-10t01:30:00.000,2021-12-10t01:14:00.000,2021-12-10t01:29:00.000,2021-12-10t01:29:00.000,2021-12-10t01:29:00.000,tlv,llbg,3,,2021-12-10t07:15:00.000,2021-12-10t06:35:00.000,2021-12-10t06:37:00.000,2021-12-10t06:37:00.000,2021-12-10t06:37:00.000,cathay pacific,cx,cpa,675,cx675,cpa675,1,,,,,,,,
arrival,landed,bkk,vtbs,,12.0,2021-12-10t01:00:00.000,2021-12-10t01:00:00.000,2021-12-10t01:11:00.000,2021-12-10t01:11:00.000,2021-12-10t01:11:00.000,tlv,llbg,,,2021-12-10t07:15:00.000,2021-12-10t06:58:00.000,2021-12-10t06:59:00.000,2021-12-10t06:59:00.000,2021-12-10t06:59:00.000,el al,ly,ely,82,ly82,ely82,,,,,,,,,
arrival,landed,pfo,lcph,,5.0,2021-12-10t06:35:00.000,2021-12-10t06:30:00.000,2021-12-10t06:39:00.000,2021-12-10t06:39:00.000,2021-12-10t06:39:00.000,tlv,llbg,1,,2021-12-10t07:40:00.000,2021-12-10t07:25:00.000,2021-12-10t07:25:00.000,2021-12-10t07:25:00.000,2021-12-10t07:25:00.000,ryanair,fr,ryr,4161,fr4161,ryr4161,,,,,,,,,
arrival,unknown,evn,udyz,,,2021-12-10t06:50:00.000,,,,,tlv,llbg,,,2021-12-10t08:20:00.000,,,,,aircompany armenia,rm,ngt,795,rm795,ngt795,,,,,,,,,
arrival,landed,skg,lgts,,2.0,2021-12-10t06:25:00.000,2021-12-10t06:25:00.000,2021-12-10t06:27:00.000,2021-12-10t06:27:00.000,2021-12-10t06:27:00.000,tlv,llbg,1,,2021-12-10t08:40:00.000,2021-12-10t08:24:00.000,2021-12-10t08:24:00.000,2021-12-10t08:24:00.000,2021-12-10t08:24:00.000,ryanair,fr,ryr,5525,fr5525,ryr5525,,,,,,,,,
arrival,landed,saw,ltfj,301a,13.0,2021-12-10t07:40:00.000,2021-12-10t07:40:00.000,2021-12-10t07:52:00.000,2021-12-10t07:52:00.000,2021-12-10t07:52:00.000,tlv,llbg,3,,2021-12-10t08:45:00.000,2021-12-10t08:29:00.000,2021-12-10t08:30:00.000,2021-12-10t08:30:00.000,2021-12-10t08:30:00.000,turkish airlines,tk,thy,7708,tk7708,thy7708,,,,,,,,,
arrival,landed,otp,lrop,,17.0,2021-12-10t06:05:00.000,2021-12-10t06:05:00.000,2021-12-10t06:22:00.000,2021-12-10t06:22:00.000,2021-12-10t06:22:00.000,tlv,llbg,1,,2021-12-10t08:45:00.000,2021-12-10t08:39:00.000,2021-12-10t08:41:00.000,2021-12-10t08:41:00.000,2021-12-10t08:41:00.000,wizz air,w6,wzz,3257,w63257,wzz3257,,,,,,,,,
arrival,landed,ist,ltfm,d11,26.0,2021-12-10t08:00:00.000,2021-12-10t08:10:00.000,2021-12-10t08:25:00.000,2021-12-10t08:25:00.000,2021-12-10t08:25:00.000,tlv,llbg,3,12.0,2021-12-10t08:55:00.000,2021-12-10t09:03:00.000,2021-12-10t09:06:00.000,2021-12-10t09:06:00.000,2021-12-10t09:06:00.000,turkish airlines,tk,thy,784,tk784,thy784,,,,,,,,,
arrival,landed,saw,ltfj,205b,18.0,2021-12-10t08:05:00.000,2021-12-10t08:05:00.000,2021-12-10t08:23:00.000,2021-12-10t08:23:00.000,2021-12-10t08:23:00.000,tlv,llbg,3,,2021-12-10t09:10:00.000,2021-12-10t08:59:00.000,2021-12-10t09:00:00.000,2021-12-10t09:00:00.000,2021-12-10t09:00:00.000,pegasus,pc,pgt,795,pc795,pgt795,,,,,,,,,
arrival,landed,jfk,kjfk,,27.0,2021-12-09t16:00:00.000,2021-12-09t16:40:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,tlv,llbg,3,,2021-12-10t09:20:00.000,2021-12-10t09:00:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,aeromexico,am,amx,7868,am7868,amx7868,4,el al,ly,ely,2,ly2,ely2,,
