,type,status,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,codeshared.airline.icaoCode,arrival.delay,arrival.baggage,Bad_Weather_today,R,new_sick_per_day,avg_for_7_days,longitude,latitude,cancel
51,arrival,landed,ltai,19,2021-12-05t10:15:00.000,2021-12-05t10:15:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,tlv,llbg,2021-12-05t10:45:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,corendon air,,0,,0,1.03,539,519,30.7928,36.9003,1
52,arrival,landed,ubbb,17,2021-12-05t09:30:00.000,2021-12-05t09:30:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,tlv,llbg,2021-12-05t10:55:00.000,2021-12-05t10:55:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,azal azerbaijan airlines,,3,,0,1.03,539,519,50.0514,40.4697,1
53,arrival,landed,limc,49,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,tlv,llbg,2021-12-05t11:20:00.000,2021-12-05t11:44:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,wizz air,,23,,0,1.03,539,519,8.7231,45.63,1
54,arrival,landed,lbsf,6,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,tlv,llbg,2021-12-05t11:25:00.000,2021-12-05t10:59:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,ryanair,,0,,0,1.03,539,519,23.4083,42.695,0
55,arrival,landed,omaa,8,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,el al,etd,0,,0,1.03,539,519,54.6511,24.4331,0
56,arrival,landed,omaa,8,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,etihad airways,,0,,0,1.03,539,519,54.6511,24.4331,0
57,arrival,landed,ukbb,56,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t12:03:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,skyup airlines,,32,,0,1.03,539,519,30.8933,50.3447,0
58,arrival,landed,omdb,36,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,emirates,fdb,6,,0,1.03,539,519,55.3644,25.2528,0
59,arrival,landed,omdb,36,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,flydubai,,6,,0,1.03,539,519,55.3644,25.2528,0
60,arrival,scheduled,lcph,0,2021-12-05t10:35:00.000,,,,,tlv,llbg,2021-12-05t11:40:00.000,,,,,tus airways,,0,,0,1.03,539,519,32.485,34.7183,0
61,arrival,landed,limc,66,2021-12-05t07:00:00.000,2021-12-05t07:30:00.000,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,tlv,llbg,2021-12-05t11:55:00.000,2021-12-05t12:26:00.000,2021-12-05t12:27:00.000,2021-12-05t12:27:00.000,2021-12-05t12:27:00.000,easyjet,,33,,0,1.03,539,519,8.7231,45.63,0
62,arrival,landed,eham,7,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,tlv,llbg,2021-12-05t12:05:00.000,2021-12-05t11:38:00.000,2021-12-05t11:39:00.000,2021-12-05t11:39:00.000,2021-12-05t11:39:00.000,transavia,,0,,0,1.03,539,519,4.7642,52.3081,0
63,arrival,landed,lsgg,7,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:11:00.000,2021-12-05t07:11:00.000,2021-12-05t07:11:00.000,tlv,llbg,2021-12-05t12:10:00.000,2021-12-05t11:54:00.000,2021-12-05t11:55:00.000,2021-12-05t11:55:00.000,2021-12-05t11:55:00.000,easyjet,,0,,1,1.03,539,519,6.1094,46.2383,0
64,arrival,landed,eddb,39,2021-12-05t07:00:00.000,2021-12-05t07:15:00.000,2021-12-05t07:38:00.000,2021-12-05t07:38:00.000,2021-12-05t07:38:00.000,tlv,llbg,2021-12-05t12:15:00.000,,2021-12-05t12:14:00.000,2021-12-05t12:14:00.000,2021-12-05t12:14:00.000,easyjet,,0,,0,1.03,539,519,13.5007,52.3622,0
65,arrival,landed,lfsb,8,2021-12-05t07:20:00.000,2021-12-05t07:20:00.000,2021-12-05t07:27:00.000,2021-12-05t07:27:00.000,2021-12-05t07:27:00.000,tlv,llbg,2021-12-05t12:25:00.000,2021-12-05t12:10:00.000,2021-12-05t12:12:00.000,2021-12-05t12:12:00.000,2021-12-05t12:12:00.000,easyjet,,0,,0,1.03,539,519,7.5292,47.59,0
